time;tvoc;co2;
17:45;0;400;
17:50;0;400;
17:55;5;400;
18:0;0;429;
18:5;19;464;
18:10;48;532;
18:15;51;540;
18:20;65;556;
18:25;55;546;
18:30;59;576;
18:35;64;612;
18:40;96;704;
18:45;92;697;
18:50;99;701;
18:55;92;673;
19:0;87;673;
19:5;96;681;
19:10;89;654;
19:15;88;651;
19:20;84;648;
19:25;82;631;
19:30;84;630;
19:35;82;635;
19:40;84;637;
19:45;78;620;
19:50;67;580;
19:55;90;637;
20:0;98;649;
20:5;105;668;
20:10;119;713;
20:15;116;731;
20:20;118;701;
20:25;117;715;
20:30;121;754;
20:35;111;725;
20:40;117;749;
20:45;113;741;
20:50;95;692;
20:55;121;747;
21:0;123;748;
21:5;91;698;
21:10;122;793;
21:15;115;785;
21:20;84;692;
21:25;116;797;
21:30;111;781;
21:35;134;916;
21:40;129;811;
21:45;118;818;
21:50;123;808;
21:55;132;853;
22:0;149;1083;
22:5;124;827;
22:10;156;1192;
22:15;142;928;
22:20;187;1385;
22:25;177;1282;
22:30;167;1183;
22:35;174;1233;
22:40;202;1370;
22:45;188;1226;
22:50;240;1380;
22:55;215;1322;
23:0;209;1240;
23:5;196;1184;
23:10;135;844;
23:15;156;900;
23:20;101;750;
23:25;117;807;
23:30;182;1088;
23:35;136;868;
23:40;122;796;
23:45;147;840;
23:50;214;1117;
23:55;185;946;
0:0;162;829;
0:5;129;738;
0:10;176;883;
0:15;165;830;
0:20;139;779;
0:25;85;638;
0:30;116;728;
0:35;129;761;
0:40;153;797;
0:45;137;763;
0:50;68;605;
0:55;44;552;
1:0;85;627;
1:5;76;611;
1:10;78;637;
1:15;70;572;
1:20;107;690;
1:25;123;720;
1:30;108;692;
1:35;107;686;
1:40;71;559;
1:45;38;521;
1:50;53;534;
1:55;93;638;
2:0;49;502;
2:5;105;648;
2:10;44;505;
2:15;93;604;
2:20;53;506;
2:25;40;495;
2:30;31;484;
2:35;45;510;
2:40;54;511;
2:45;86;609;
2:50;51;503;
2:55;62;526;
3:0;69;573;
3:5;12;417;
3:10;56;518;
3:15;47;511;
3:20;57;525;
3:25;61;493;
3:30;44;489;
3:35;45;486;
3:40;48;497;
3:45;49;488;
3:50;39;478;
3:55;41;473;
4:0;23;458;
4:5;11;401;
4:10;28;462;
4:15;30;451;
4:20;29;448;
4:25;34;464;
4:30;0;400;
4:35;13;421;
4:40;38;454;
4:45;12;400;
4:50;16;410;
4:55;32;448;
5:0;15;423;
5:5;0;400;
5:10;0;400;
5:15;19;428;
5:20;25;433;
5:25;18;419;
5:30;17;408;
5:35;1;400;
5:40;0;400;
5:45;18;445;
5:50;40;518;
5:55;32;514;
6:0;37;515;
6:5;48;513;
6:10;30;489;
6:15;49;510;
6:20;33;455;
6:25;18;411;
6:30;8;400;
6:35;23;434;
6:40;83;554;
6:45;128;596;
6:50;90;504;
6:55;105;547;
7:0;8;400;
7:5;0;400;
7:10;13;400;
7:15;30;409;
7:20;31;400;
7:25;45;433;
7:30;36;427;
7:35;45;442;
7:40;44;435;
7:45;51;451;
7:50;48;462;
7:55;57;473;
8:0;59;482;
8:5;64;478;
8:10;66;480;
8:15;64;485;
8:20;66;484;
8:25;66;477;
8:30;72;484;
8:35;71;487;
8:40;59;462;
8:45;81;488;
8:50;63;449;
8:55;58;451;
9:0;74;482;
9:5;77;484;
9:10;78;503;
9:15;81;494;
9:20;80;473;
9:25;87;501;
9:30;72;462;
9:35;76;485;
9:40;82;485;
9:45;95;507;
9:50;94;500;
9:55;69;447;
10:0;91;498;
10:5;88;483;
10:10;92;496;
10:15;92;497;
10:20;98;507;
10:25;108;523;
10:30;116;565;
10:35;106;543;
10:40;107;517;
10:45;117;581;
10:50;105;525;
10:55;134;590;
11:0;100;539;
11:5;126;587;
11:10;75;486;
11:15;0;400;
11:20;29;400;
11:25;50;432;
11:30;50;431;
11:35;67;527;
11:40;88;617;
11:45;77;550;
11:50;93;583;
11:55;93;570;
12:0;93;578;
12:5;95;581;
12:10;99;599;
12:15;105;607;
12:20;118;646;
12:25;110;625;
12:30;127;670;
12:35;122;638;
12:40;110;649;
12:45;122;654;
12:50;106;615;
12:55;124;634;
13:0;128;653;
13:5;121;644;
13:10;137;676;
13:15;151;696;
13:20;119;629;
13:25;127;642;
13:30;119;620;
13:35;111;586;
13:40;112;608;
13:45;120;622;
13:50;123;637;
13:55;122;604;
14:0;152;661;
14:5;118;613;
14:10;126;633;
14:15;137;657;
14:20;142;633;
14:25;126;623;
14:30;123;604;
14:35;137;635;
14:40;146;648;
14:45;126;615;
14:50;120;632;
14:55;134;641;
15:0;126;630;
15:5;126;622;
15:10;124;617;
15:15;122;629;
15:20;126;619;
15:25;127;620;
15:30;130;607;
15:35;126;625;
15:40;132;611;
15:45;126;611;
15:50;138;608;
15:55;124;593;
16:0;131;602;
16:5;115;582;
16:10;129;601;
16:15;99;549;
16:20;89;516;
16:25;135;683;
16:30;128;632;
16:35;132;640;
16:40;146;661;
16:45;136;664;
16:50;105;578;
16:55;109;615;
17:0;104;578;
17:5;105;563;
17:10;84;520;
17:15;174;1119;
17:20;103;630;
17:25;107;644;
17:30;166;768;
17:35;159;756;
17:40;228;1472;
17:45;202;1063;
17:50;191;911;
17:55;207;915;
18:0;206;944;
18:5;207;905;
18:10;191;866;
18:15;184;844;
18:20;176;810;
18:25;194;846;
18:30;187;826;
18:35;191;825;
18:40;178;803;
18:45;168;799;
18:50;171;795;
18:55;182;808;
19:0;179;807;
19:5;172;792;
19:10;180;806;
19:15;181;819;
19:20;163;748;
19:25;71;564;
19:30;158;753;
19:35;127;724;
19:40;144;762;
19:45;157;833;
19:50;162;858;
19:55;183;927;
20:0;197;1002;
20:5;181;890;
20:10;174;882;
20:15;174;903;
20:20;176;897;
20:25;151;850;
20:30;185;954;
20:35;187;930;
20:40;189;903;
20:45;189;941;
20:50;161;839;
20:55;166;841;
21:0;181;856;
21:5;196;930;
21:10;175;818;
21:15;170;824;
21:20;172;820;
21:25;165;807;
21:30;168;802;
21:35;136;747;
21:40;180;843;
21:45;190;859;
21:50;157;798;
21:55;211;1092;
22:0;214;1085;
22:5;266;1229;
22:10;247;1100;
22:15;279;1241;
22:20;135;664;
22:25;86;701;
22:30;37;495;
22:35;0;400;
22:40;62;561;
22:45;81;586;
22:50;135;701;
22:55;137;774;
23:0;114;696;
23:5;132;721;
23:10;128;714;
23:15;142;731;
23:20;123;714;
23:25;156;764;
23:30;135;737;
23:35;132;718;
23:40;128;682;
23:45;153;741;
23:50;148;726;
23:55;129;687;
0:0;135;683;
0:5;123;681;
0:10;130;664;
0:15;136;665;
0:20;128;665;
0:25;137;675;
0:30;131;654;
0:35;131;650;
0:40;130;637;
0:45;136;664;
0:50;134;646;
0:55;129;649;
1:0;127;645;
1:5;136;647;
1:10;128;635;
1:15;127;619;
1:20;124;618;
1:25;122;620;
1:30;127;618;
1:35;132;627;
1:40;121;608;
1:45;118;602;
1:50;109;589;
1:55;123;596;
2:0;113;583;
2:5;117;593;
2:10;126;610;
2:15;118;593;
2:20;114;557;
2:25;106;563;
2:30;104;558;
2:35;104;555;
2:40;101;531;
2:45;120;567;
2:50;97;515;
2:55;91;516;
3:0;91;525;
3:5;96;521;
3:10;87;502;
3:15;96;519;
3:20;98;519;
3:25;96;524;
3:30;101;517;
3:35;91;500;
3:40;91;493;
3:45;44;414;
3:50;52;487;
3:55;46;413;
4:0;32;400;
4:5;64;441;
4:10;49;419;
4:15;63;462;
4:20;56;422;
4:25;56;432;
4:30;47;419;
4:35;71;484;
4:40;64;459;
4:45;69;459;
4:50;28;400;
4:55;40;426;
5:0;50;428;
5:5;25;415;
5:10;31;408;
5:15;41;404;
5:20;22;404;
5:25;0;400;
5:30;18;400;
5:35;1;400;
5:40;0;400;
5:45;0;400;
5:50;0;400;
5:55;16;422;
6:0;12;489;
6:5;12;445;
6:10;30;477;
6:15;24;481;
6:20;22;464;
6:25;14;428;
6:30;1;421;
6:35;39;525;
6:40;43;530;
6:45;71;711;
6:50;164;1362;
6:55;121;827;
7:0;162;1360;
7:5;158;1130;
7:10;141;1089;
7:15;123;978;
7:20;152;1153;
7:25;137;890;
7:30;117;923;
7:35;116;817;
7:40;124;874;
7:45;101;792;
7:50;91;724;
7:55;79;716;
8:0;70;664;
8:5;80;698;
8:10;76;672;
8:15;62;640;
8:20;61;617;
8:25;61;613;
8:30;57;599;
8:35;56;599;
8:40;47;583;
8:45;47;562;
8:50;61;570;
8:55;41;535;
9:0;45;532;
9:5;37;516;
9:10;29;515;
9:15;33;493;
9:20;32;496;
9:25;26;468;
9:30;21;457;
9:35;22;461;
9:40;13;423;
9:45;22;441;
9:50;13;420;
9:55;16;424;
10:0;10;400;
10:5;14;403;
10:10;1;400;
10:15;14;400;
10:20;5;400;
10:25;0;400;
10:30;3;400;
10:35;3;400;
10:40;0;400;
10:45;0;400;
10:50;0;400;
10:55;0;400;
11:0;0;400;
11:5;0;400;
11:10;0;400;
11:15;0;400;
11:20;0;400;
11:25;0;400;
11:30;0;400;
11:35;0;400;
11:40;0;400;
11:45;0;400;
11:50;0;400;
11:55;0;400;
12:0;0;400;
12:5;0;400;
12:10;0;400;
12:15;0;400;
12:20;0;400;
12:25;0;400;
12:30;0;400;
12:35;0;400;
12:40;0;400;
12:45;23;400;
12:50;22;400;
12:55;66;407;
13:0;62;424;
13:5;47;400;
13:10;37;400;
13:15;36;400;
